,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
46,GStatic Google Static Content,,Google has off-loaded static content (Javascript/Images/CSS) to a different domain name in an effort to reduce bandwidth usage and increase network performance for the end user.,cdn,1410652800000,1633417200000,no,https://google.com,
47,Datalogix,"['Advertiser Tracking', 'Conversion Optimization']",Leverages the power of purchase-based audience targeting to drive measurable online and offline sales,analytics,1410994800000,1447977600000,no,http://datalogix.com,
48,Chango,,Reader friendly ad network,ads,1410994800000,1447977600000,no,http://chango.com,
49,Resonate Insights,,Resonate Insights drives media plans that ensure messages reach the right people at the right time,ads,1410994800000,1447977600000,no,http://www.resonateinsights.com/,
50,Acxiom,['Advertiser Tracking'],Technology and marketing services that enable marketers to manage audiences.,analytics,1410994800000,1410994800000,no,http://acxiom.com/,
51,New Relic,['Application Performance'],New Relic is a dashboard used to keep an eye on application health and availability while monitoring real user experience.,analytics,1416438000000,1416438000000,no,http://newrelic.com/,
52,Vimeo,"['Online Video Platform', 'Video Players']","Use Vimeo to exchange videos with only the people you want to. We have a bunch of different privacy options so you can choose exactly who can see your videos, and others can do the same. The website embeds vimeo.",media,1416438000000,1502233200000,no,http://vimeo.com,
53,Vimeo CDN,,This page uses content from the Vimeo CDN.,cdn,1416438000000,1416438000000,no,http://vimeo.com,
54,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1416438000000,1633417200000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
55,WordPress Grid,,Contains content that may be hosted on the WordPress Grid Hosting CDN.,cdn,1416438000000,1416438000000,no,http://vip.wordpress.com/,
56,EssentialSSL,['Root Authority'],"Certificate provided by EssentialSSL, a Comodo company.",ssl,1417647600000,1490655600000,no,http://essentialssl.com,
57,Comodo SSL,['Root Authority'],Certificate provided by Comodo.,ssl,1417647600000,1518735600000,no,http://comodo.com,
58,Comodo Essential SSL WildCard,['Wildcard'],128-bit SSL certificates designed for encrypting web sites that handle low-volume online transactions. ,ssl,1417647600000,1482879600000,no,http://comodosslstore.com/essentialssl-wildcard.aspx,
59,MediaMath,['Advertiser Tracking'],Tools that enable and empower marketing professionals.,analytics,1423090800000,1447977600000,no,http://mediamath.com,
60,The Trade Desk,['Demand-side Platform'],Data-driven marketing suite that offers marketers a single place to buy all forms of online media.,ads,1437001200000,1447977600000,no,http://www.thetradedesk.com,
61,Turn,"['Ad Analytics', 'Audience Targeting', 'Data Management Platform', 'Demand-side Platform', 'Multi-Channel', 'Ad Network', 'Digital Video Ads']","Provides performance-based CPA, CPC, and CPM pricing, automatic and blended targeting, plus market quality control through Smart Marketing technology. Now known as Amobee.",ads,1437001200000,1447977600000,no,http://turn.com,
62,BlueKai DMP,['Data Management Platform'],BlueKai sites that specifically call a tags script.,ads,1437001200000,1447977600000,no,http://bluekai.com,BlueKai
63,BlueKai,['Ad Exchange'],The BlueKai Data Exchange enables partners to buy and own data to boost ad targeting across any media.,ads,1437001200000,1447977600000,no,http://bluekai.com,
64,DoubleClick.Net,,"DoubleClick enables agencies, marketers and publishers to work together successfully and profit from their digital marketing investments.",ads,1439420400000,1616828400000,no,http://www.doubleclick.com,
65,Google Universal Analytics,,"The analytics.js JavaScript snippet is a new way to measure how users interact with your website. It is similar to the previous Google tracking code, ga.js, but offers more flexibility for developers to customize their implementations.",analytics,1441407600000,1633417200000,no,https://developers.google.com/analytics/devguides/collection/analyticsjs/,Google Analytics
66,Google Analytics IP Anonymization,,The website doesn't report your IP address to Google Analytics.,analytics,1443654000000,1633417200000,no,http://support.google.com/analytics/bin/answer.py?hl=en&answer=2763052,
67,Google Hosted Libraries,,"Google Hosted Libraries is a globally available content distribution network for the most popular, open-source JavaScript libraries.",javascript,1458774000000,1465426800000,no,https://developers.google.com/speed/libraries/,
68,jQuery 1.11.1,,jQuery version 1.11.1,javascript,1458774000000,1465426800000,no,http://blog.jquery.com/2014/05/01/jquery-1-11-1-and-2-1-1-released/,jQuery
69,Google Hosted jQuery,,jQuery hoted at Google.,javascript,1458774000000,1465426800000,no,https://developers.google.com/speed/libraries/,Google Hosted Libraries
70,Mustache,['Framework'],Logic-less Templates.,javascript,1471215600000,1472079600000,no,http://mustache.github.com/,
71,jQuery 1.8.3,,jQuery version 1.8.3,javascript,1471215600000,1472079600000,no,http://blog.jquery.com/2012/11/13/jquery-1-8-3-released/,jQuery
72,Enquire JS,['JavaScript Library'],"enquire.js is a lightweight, pure JavaScript library for responding to CSS media queries.",javascript,1471215600000,1472079600000,no,http://wicky.nillia.ms/enquire.js/,
73,IPv6,,The website has an IPv6 record.,Server,1473548400000,1636268400000,no,http://en.wikipedia.org/wiki/IPv6,
